Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,British Grand Prix,HUL,Kick Sauber,1.0,1.0,INTERMEDIATE,1.0,113.433,,43.027,29.856,299.0,234.0,204.0,299.0,12,False,18.5,24.5,82.0,False,1.0,11.0
2025,British Grand Prix,STR,Aston Martin,1.0,1.0,INTERMEDIATE,1.0,114.213,,43.719,30.011,291.0,231.0,198.0,305.0,12,False,18.5,24.5,82.0,False,1.0,12.0
2025,British Grand Prix,OCO,Haas F1 Team,1.0,1.0,INTERMEDIATE,1.0,114.646,,43.16,30.045,272.0,240.0,202.0,299.0,12,False,18.5,24.5,82.0,False,1.0,13.0
2025,British Grand Prix,RUS,Mercedes,1.0,1.0,HARD,1.0,130.567,,46.483,37.692,272.0,207.0,140.0,249.0,126,False,18.5,24.5,82.0,False,1.0,14.0
2025,British Grand Prix,LEC,Ferrari,1.0,1.0,MEDIUM,1.0,131.978,,46.019,38.067,259.0,197.0,120.0,280.0,126,False,18.5,24.5,82.0,False,1.0,15.0
2025,British Grand Prix,HAD,Racing Bulls,1.0,1.0,MEDIUM,1.0,133.171,,45.799,37.873,266.0,204.0,140.0,277.0,126,False,18.5,24.5,82.0,False,1.0,16.0
2025,British Grand Prix,BOR,Kick Sauber,1.0,1.0,MEDIUM,1.0,135.202,,46.265,38.544,260.0,197.0,128.0,267.0,126,False,18.5,24.5,82.0,False,1.0,17.0
2025,British Grand Prix,BEA,Haas F1 Team,1.0,1.0,HARD,1.0,136.342,,46.851,38.669,263.0,199.0,141.0,291.0,126,False,18.5,24.5,82.0,False,1.0,18.0
2025,British Grand Prix,VER,Red Bull Racing,2.0,1.0,INTERMEDIATE,2.0,135.598,45.755,53.7,36.143,110.0,223.0,158.0,257.0,26,True,18.4,24.5,80.0,False,1.5,1.0
2025,British Grand Prix,PIA,McLaren,2.0,1.0,INTERMEDIATE,2.0,135.131,48.156,51.266,35.709,120.0,226.0,166.0,266.0,26,True,18.4,24.5,80.0,False,1.5,2.0
2025,British Grand Prix,NOR,McLaren,2.0,1.0,INTERMEDIATE,2.0,136.245,49.795,49.624,36.826,138.0,226.0,135.0,241.0,26,True,18.4,24.5,80.0,False,1.5,3.0
2025,British Grand Prix,ANT,Mercedes,2.0,1.0,INTERMEDIATE,2.0,133.229,57.948,46.64,28.641,100.0,227.0,,270.0,26,False,18.4,24.5,80.0,False,1.5,4.0
2025,British Grand Prix,HAM,Ferrari,2.0,1.0,INTERMEDIATE,2.0,137.611,52.654,49.054,35.903,118.0,218.0,115.0,264.0,26,True,18.4,24.5,80.0,False,1.5,5.0
2025,British Grand Prix,GAS,Alpine,2.0,1.0,INTERMEDIATE,2.0,138.221,54.906,48.049,35.266,96.0,195.0,111.0,281.0,26,True,18.4,24.5,80.0,False,1.5,6.0
2025,British Grand Prix,ALO,Aston Martin,2.0,1.0,INTERMEDIATE,2.0,137.676,55.28,47.964,34.432,115.0,229.0,121.0,292.0,26,True,18.4,24.5,80.0,False,1.5,7.0
2025,British Grand Prix,SAI,Williams,2.0,1.0,INTERMEDIATE,2.0,138.077,57.172,47.311,33.594,117.0,225.0,104.0,279.0,26,True,18.4,24.5,80.0,False,1.5,8.0
2025,British Grand Prix,ALB,Williams,2.0,1.0,INTERMEDIATE,2.0,138.765,58.205,47.127,33.433,114.0,230.0,107.0,294.0,26,True,18.4,24.5,80.0,False,1.5,9.0
2025,British Grand Prix,TSU,Red Bull Racing,2.0,1.0,INTERMEDIATE,2.0,138.902,58.609,48.368,31.925,104.0,219.0,117.0,283.0,26,True,18.4,24.5,80.0,False,1.5,10.0
2025,British Grand Prix,HUL,Kick Sauber,2.0,1.0,INTERMEDIATE,2.0,139.63,58.82,49.952,30.858,98.0,224.0,139.0,280.0,26,True,18.4,24.5,80.0,False,1.5,11.0
2025,British Grand Prix,STR,Aston Martin,2.0,1.0,INTERMEDIATE,2.0,139.999,58.9,49.857,31.242,102.0,224.0,145.0,275.0,26,True,18.4,24.5,80.0,False,1.5,12.0
2025,British Grand Prix,OCO,Haas F1 Team,2.0,1.0,INTERMEDIATE,2.0,140.933,59.547,49.833,31.553,91.0,220.0,167.0,277.0,26,True,18.4,24.5,80.0,False,1.5,13.0
2025,British Grand Prix,RUS,Mercedes,2.0,1.0,HARD,2.0,136.938,47.756,52.218,36.964,136.0,201.0,157.0,238.0,6,True,18.4,24.5,80.0,False,1.5,14.0
2025,British Grand Prix,LEC,Ferrari,2.0,1.0,MEDIUM,2.0,137.868,47.82,53.895,36.153,157.0,173.0,157.0,255.0,6,True,18.4,24.5,80.0,False,1.5,15.0
2025,British Grand Prix,HAD,Racing Bulls,2.0,1.0,MEDIUM,2.0,138.715,48.422,52.429,37.864,143.0,190.0,152.0,220.0,6,True,18.4,24.5,80.0,False,1.5,16.0
2025,British Grand Prix,BOR,Kick Sauber,2.0,1.0,MEDIUM,2.0,137.78,47.212,52.669,37.899,140.0,191.0,152.0,225.0,6,True,18.4,24.5,80.0,False,1.5,17.0
2025,British Grand Prix,BEA,Haas F1 Team,2.0,1.0,HARD,2.0,137.12,46.816,52.406,37.898,140.0,202.0,144.0,255.0,6,True,18.4,24.5,80.0,False,1.5,18.0
2025,British Grand Prix,VER,Red Bull Racing,3.0,1.0,INTERMEDIATE,3.0,137.357,48.885,50.924,37.548,123.0,211.0,136.0,187.0,6,False,18.6,24.8,78.0,False,1.1,1.0
2025,British Grand Prix,PIA,McLaren,3.0,1.0,INTERMEDIATE,3.0,137.795,50.555,49.592,37.648,135.0,208.0,128.0,138.0,6,False,18.6,24.8,78.0,False,1.1,2.0
2025,British Grand Prix,NOR,McLaren,3.0,1.0,INTERMEDIATE,3.0,137.443,50.956,48.037,38.45,114.0,168.0,113.0,145.0,6,False,18.6,24.8,78.0,False,1.1,3.0
2025,British Grand Prix,HAM,Ferrari,3.0,1.0,INTERMEDIATE,3.0,136.362,49.759,50.37,36.233,118.0,217.0,150.0,181.0,6,True,18.6,24.8,78.0,False,1.1,4.0
2025,British Grand Prix,GAS,Alpine,3.0,1.0,INTERMEDIATE,3.0,137.418,50.783,51.569,35.066,98.0,205.0,145.0,286.0,6,True,18.6,24.8,78.0,False,1.1,5.0
2025,British Grand Prix,ALO,Aston Martin,3.0,1.0,INTERMEDIATE,3.0,137.227,50.884,50.838,35.505,100.0,223.0,174.0,276.0,6,True,18.6,24.8,78.0,False,1.1,6.0
2025,British Grand Prix,SAI,Williams,3.0,1.0,INTERMEDIATE,3.0,137.24,50.557,51.1,35.583,100.0,220.0,141.0,283.0,6,True,18.6,24.8,78.0,False,1.1,7.0
2025,British Grand Prix,ALB,Williams,3.0,1.0,INTERMEDIATE,3.0,136.656,50.169,51.169,35.318,108.0,204.0,133.0,285.0,6,True,18.6,24.8,78.0,False,1.1,8.0
2025,British Grand Prix,TSU,Red Bull Racing,3.0,1.0,INTERMEDIATE,3.0,136.524,50.178,51.122,35.224,119.0,194.0,122.0,278.0,67,True,18.6,24.8,78.0,False,1.1,9.0
2025,British Grand Prix,HUL,Kick Sauber,3.0,1.0,INTERMEDIATE,3.0,135.863,50.13,50.554,35.179,130.0,190.0,127.0,281.0,67,True,18.6,24.8,78.0,False,1.1,10.0
2025,British Grand Prix,STR,Aston Martin,3.0,1.0,INTERMEDIATE,3.0,135.927,50.266,50.259,35.402,120.0,165.0,132.0,281.0,67,True,18.6,24.8,78.0,False,1.1,11.0
2025,British Grand Prix,OCO,Haas F1 Team,3.0,1.0,INTERMEDIATE,3.0,135.573,50.081,49.943,35.549,124.0,213.0,145.0,266.0,67,True,18.6,24.8,78.0,False,1.1,12.0
2025,British Grand Prix,RUS,Mercedes,3.0,1.0,HARD,3.0,136.427,46.174,52.268,37.985,92.0,205.0,165.0,158.0,671,True,18.7,24.8,75.0,False,1.3,14.0
2025,British Grand Prix,LEC,Ferrari,3.0,1.0,MEDIUM,3.0,135.872,45.563,51.923,38.386,112.0,191.0,163.0,146.0,671,True,18.7,24.8,75.0,False,1.3,15.0
2025,British Grand Prix,HAD,Racing Bulls,3.0,1.0,MEDIUM,3.0,135.981,45.591,51.045,39.345,150.0,202.0,158.0,203.0,671,True,18.7,24.8,75.0,False,1.3,16.0
2025,British Grand Prix,BOR,Kick Sauber,3.0,1.0,MEDIUM,3.0,136.121,45.225,51.62,39.276,130.0,208.0,152.0,211.0,671,True,18.7,24.8,75.0,False,1.3,17.0
2025,British Grand Prix,BEA,Haas F1 Team,3.0,1.0,HARD,3.0,137.209,45.811,51.037,40.361,142.0,218.0,161.0,206.0,671,False,18.7,24.8,75.0,False,1.3,18.0
2025,British Grand Prix,VER,Red Bull Racing,4.0,1.0,INTERMEDIATE,4.0,105.568,36.223,40.712,28.633,301.0,242.0,218.0,308.0,6712,True,18.6,24.9,75.0,False,0.9,1.0
2025,British Grand Prix,PIA,McLaren,4.0,1.0,INTERMEDIATE,4.0,105.828,36.081,40.95,28.797,297.0,234.0,217.0,307.0,6712,True,18.6,24.9,75.0,False,0.9,2.0
2025,British Grand Prix,NOR,McLaren,4.0,1.0,INTERMEDIATE,4.0,105.751,35.715,41.225,28.811,295.0,240.0,221.0,303.0,6712,True,18.6,24.9,75.0,False,0.9,3.0
2025,British Grand Prix,HAM,Ferrari,4.0,1.0,INTERMEDIATE,4.0,106.333,35.675,41.582,29.076,293.0,234.0,213.0,296.0,6712,True,18.6,24.9,75.0,False,0.9,4.0
2025,British Grand Prix,GAS,Alpine,4.0,1.0,INTERMEDIATE,4.0,105.466,34.368,41.889,29.209,300.0,235.0,213.0,308.0,6712,True,18.6,24.9,75.0,False,0.9,5.0
2025,British Grand Prix,ALO,Aston Martin,4.0,1.0,INTERMEDIATE,4.0,105.678,34.565,41.914,29.199,294.0,238.0,216.0,305.0,6712,True,18.6,24.9,75.0,False,0.9,6.0
2025,British Grand Prix,SAI,Williams,4.0,1.0,INTERMEDIATE,4.0,106.016,34.426,42.224,29.366,298.0,239.0,214.0,306.0,6712,True,18.6,24.9,75.0,False,0.9,7.0
2025,British Grand Prix,ALB,Williams,4.0,1.0,INTERMEDIATE,4.0,105.774,33.774,42.651,29.349,304.0,239.0,210.0,308.0,6712,True,18.6,24.9,75.0,False,0.9,8.0
2025,British Grand Prix,TSU,Red Bull Racing,4.0,1.0,INTERMEDIATE,4.0,106.058,34.142,42.779,29.137,293.0,242.0,211.0,313.0,712,True,18.6,24.9,75.0,False,0.9,9.0
2025,British Grand Prix,HUL,Kick Sauber,4.0,1.0,INTERMEDIATE,4.0,106.563,34.781,42.183,29.599,288.0,239.0,215.0,299.0,712,True,18.6,24.9,75.0,False,0.9,10.0
2025,British Grand Prix,STR,Aston Martin,4.0,1.0,INTERMEDIATE,4.0,106.197,34.119,42.518,29.56,288.0,238.0,212.0,304.0,712,True,18.6,24.9,75.0,False,0.9,11.0
2025,British Grand Prix,OCO,Haas F1 Team,4.0,1.0,INTERMEDIATE,4.0,106.266,33.769,42.947,29.55,287.0,238.0,215.0,296.0,712,True,18.6,24.9,75.0,False,0.9,12.0
2025,British Grand Prix,ANT,Mercedes,4.0,2.0,HARD,2.0,115.035,37.597,44.156,33.282,285.0,235.0,167.0,306.0,712,True,18.6,24.9,75.0,False,0.9,13.0
2025,British Grand Prix,RUS,Mercedes,4.0,1.0,HARD,4.0,111.418,35.919,42.781,32.718,286.0,240.0,179.0,309.0,12,True,18.6,24.9,75.0,False,0.9,14.0
2025,British Grand Prix,LEC,Ferrari,4.0,1.0,MEDIUM,4.0,112.993,37.56,42.616,32.817,286.0,232.0,174.0,296.0,12,True,18.6,24.9,75.0,False,0.9,15.0
2025,British Grand Prix,HAD,Racing Bulls,4.0,1.0,MEDIUM,4.0,113.542,37.387,42.421,33.734,286.0,239.0,146.0,306.0,12,True,18.6,24.9,75.0,False,0.7,16.0
2025,British Grand Prix,BEA,Haas F1 Team,4.0,1.0,HARD,4.0,111.955,37.218,41.454,33.283,290.0,237.0,165.0,302.0,12,True,18.6,24.9,75.0,False,0.7,17.0
2025,British Grand Prix,VER,Red Bull Racing,5.0,1.0,INTERMEDIATE,5.0,104.809,31.996,43.11,29.703,291.0,233.0,204.0,306.0,126,True,18.8,25.2,77.0,False,1.2,1.0
2025,British Grand Prix,PIA,McLaren,5.0,1.0,INTERMEDIATE,5.0,104.455,31.795,42.952,29.708,297.0,238.0,213.0,307.0,126,True,18.8,25.2,77.0,False,1.2,2.0
2025,British Grand Prix,NOR,McLaren,5.0,1.0,INTERMEDIATE,5.0,105.033,32.084,42.984,29.965,297.0,237.0,127.0,304.0,126,False,18.8,25.2,77.0,False,1.2,3.0
2025,British Grand Prix,HAM,Ferrari,5.0,1.0,INTERMEDIATE,5.0,107.677,32.173,42.898,32.606,293.0,234.0,86.0,300.0,126,False,18.8,25.2,77.0,False,1.2,4.0
2025,British Grand Prix,GAS,Alpine,5.0,1.0,INTERMEDIATE,5.0,108.978,32.428,43.49,33.06,294.0,236.0,98.0,304.0,126,False,18.8,25.2,77.0,False,1.2,5.0
2025,British Grand Prix,ALO,Aston Martin,5.0,1.0,INTERMEDIATE,5.0,109.536,32.334,43.77,33.432,290.0,238.0,130.0,302.0,126,False,18.8,25.2,77.0,False,1.2,6.0
2025,British Grand Prix,SAI,Williams,5.0,1.0,INTERMEDIATE,5.0,110.644,32.383,43.616,34.645,298.0,238.0,142.0,308.0,126,False,18.8,25.2,77.0,False,1.2,7.0
2025,British Grand Prix,ALB,Williams,5.0,1.0,INTERMEDIATE,5.0,110.861,32.304,43.596,34.961,298.0,234.0,134.0,308.0,126,False,18.8,25.2,77.0,False,1.2,8.0
2025,British Grand Prix,TSU,Red Bull Racing,5.0,1.0,INTERMEDIATE,5.0,111.106,32.432,43.49,35.184,286.0,236.0,128.0,312.0,126,False,18.8,25.2,77.0,False,1.2,9.0
2025,British Grand Prix,HUL,Kick Sauber,5.0,1.0,INTERMEDIATE,5.0,111.575,32.67,43.456,35.449,289.0,238.0,132.0,299.0,126,False,18.8,25.2,77.0,False,1.2,10.0
2025,British Grand Prix,STR,Aston Martin,5.0,1.0,INTERMEDIATE,5.0,111.895,32.552,43.791,35.552,280.0,237.0,145.0,302.0,126,False,18.8,25.2,77.0,False,1.2,11.0
2025,British Grand Prix,OCO,Haas F1 Team,5.0,1.0,INTERMEDIATE,5.0,112.165,32.752,43.835,35.578,289.0,238.0,156.0,297.0,126,False,18.8,25.2,77.0,False,1.2,12.0
